"chr","start","end","strand","gene_name","exonStarts","exonEnds"
"chr19",56774555,56840726,"-","ZIM2 - NM_001369773","56774555,56779376,56781952,56789871,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56840581,","56775529,56779472,56782121,56789951,56817838,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56840901,56848556,"+","MIMT1 - NR_024059","56840901,56847951,","56841586,56848556,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369719","56810082,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56817579,56818702,56821754,56822836,56823679,56824741,56826463,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369720","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56833289,56833642,56836017,56840586,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56826463,56833420,56833763,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369718","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824741,56826463,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369717","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56840586,","56817579,56817838,56818702,56821754,56822836,56823679,56824741,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001146187","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001146184","56810082,56817745,56818599,56821650,56822752,56823592,56824261,56836017,56840581,","56817579,56817835,56818702,56821754,56822836,56823679,56824741,56836104,56840726,"
"chr19",56774555,56840726,"-","ZIM2 - NM_015363","56774555,56779376,56781952,56789871,56818599,56821650,56822752,56823589,56824261,56836017,56840586,","56775529,56779472,56782121,56789951,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001146185","56810082,56817745,56818599,56821650,56822752,56823592,56824261,56836017,56840581,","56817579,56817835,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56774555,56840726,"-","ZIM2 - NM_001369774","56774555,56779376,56781952,56789871,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56840586,","56775529,56779472,56782121,56789951,56817838,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56774555,56840729,"-","ZIM2 - NM_001146327","56774555,56779376,56781952,56789871,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840586,","56775529,56779472,56782121,56789951,56818702,56821754,56822836,56823679,56824514,56826463,56836104,56840729,"
"chr19",56774555,56840726,"-","ZIM2 - NM_001146326","56774555,56779376,56781952,56789871,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840586,","56775529,56779472,56782121,56789951,56818702,56821754,56822836,56823679,56824427,56826463,56836104,56840726,"
"chr19",56810082,56837808,"-","PEG3 - NM_001369733","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56837751,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56836104,56837808,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369735","56810082,56818599,56821650,56822752,56823589,56824261,56836017,56840581,","56817579,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369734","56810082,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56817579,56818702,56821754,56822836,56823679,56824427,56826463,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369736","56810082,56818599,56821650,56822752,56823589,56824261,56836017,56840581,","56817579,56818702,56821754,56822836,56823679,56824514,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369732","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840586,","56817579,56817838,56818702,56821754,56822836,56823679,56824514,56826463,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369731","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56833289,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56826463,56833420,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369729","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824514,56826463,56836104,56840726,"
